iter	Passed	Remaining
0	295	295549
1	305	152528
2	315	104893
3	325	81158
4	335	66859
5	346	57393
6	356	50615
7	366	45433
8	376	41484
9	386	38300
10	396	35650
11	406	33439
12	416	31614
13	426	30034
14	436	28647
15	445	27421
16	456	26406
17	467	25492
18	479	24766
19	489	23990
20	499	23273
21	507	22579
22	518	22008
23	528	21475
24	537	20981
25	567	21253
26	582	20983
27	596	20696
28	609	20407
29	624	20185
30	637	19937
31	660	19967
32	686	20124
33	697	19814
34	716	19741
35	734	19667
36	745	19404
37	755	19126
38	766	18890
39	782	18779
40	794	18574
41	808	18445
42	823	18332
43	837	18204
44	853	18120
45	873	18108
46	888	18008
47	905	17949
48	921	17879
49	937	17814
50	953	17744
51	968	17663
52	987	17641
53	1005	17617
54	1024	17606
55	1039	17521
56	1079	17855
57	1100	17873
58	1122	17903
59	1137	17820
60	1153	17758
61	1175	17777
62	1190	17700
63	1205	17635
64	1221	17565
65	1234	17466
66	1246	17364
67	1261	17292
68	1278	17251
69	1290	17148
70	1304	17063
71	1317	16979
72	1327	16861
73	1338	16748
74	1348	16633
75	1358	16520
76	1369	16413
77	1380	16312
78	1390	16209
79	1401	16112
80	1419	16104
81	1432	16040
82	1445	15967
83	1455	15873
84	1466	15790
85	1477	15697
86	1487	15607
87	1497	15519
88	1506	15420
89	1516	15338
90	1526	15251
91	1536	15162
92	1547	15087
93	1557	15011
94	1567	14927
95	1576	14842
96	1585	14763
97	1596	14696
98	1605	14615
99	1615	14539
100	1625	14469
101	1635	14395
102	1644	14324
103	1653	14248
104	1663	14180
105	1674	14119
106	1683	14050
107	1694	13997
108	1707	13955
109	1717	13897
110	1728	13843
111	1740	13798
112	1753	13761
113	1763	13706
114	1773	13646
115	1782	13586
116	1792	13528
117	1802	13471
118	1811	13408
119	1820	13349
120	1829	13289
121	1838	13232
122	1847	13174
123	1857	13119
124	1866	13064
125	1875	13011
126	1885	12960
127	1895	12911
128	1905	12863
129	1915	12816
130	1925	12770
131	1935	12729
132	1946	12687
133	1956	12647
